부재ID,도면부재명,유형,구역,층,치수(mm),스팬/높이(mm),체적(m³)
C1-B2F-DONG-0001,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0002,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0003,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0004,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0005,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0006,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0007,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0008,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0009,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0010,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0011,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0012,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0013,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0014,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0015,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0016,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0017,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0018,C1,기둥,DONG,B2F,400x800,3300,1.056
TC13-B2F-DONG-0001,TC13,기둥,DONG,B2F,1499x800,3300,3.96
TC13-B2F-DONG-0002,TC13,기둥,DONG,B2F,1500x800,3300,3.96
TC13-B2F-DONG-0003,TC13,기둥,DONG,B2F,1500x800,3300,3.96
C1-B2F-DONG-0019,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0020,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0021,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0022,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0023,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0024,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0025,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0026,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0027,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0028,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0029,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0030,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0031,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0032,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0033,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0034,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0035,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0036,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0037,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0038,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0039,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0040,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0041,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0042,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0043,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0044,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0045,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0046,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0047,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0048,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0049,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0050,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0051,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0052,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0053,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0054,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0055,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0056,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0057,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0058,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0059,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0060,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0061,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0062,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0063,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0064,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0065,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0066,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0067,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0068,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0069,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0070,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0071,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0072,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0073,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0074,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0075,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0076,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0077,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0078,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0079,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0080,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0081,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0082,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0083,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0084,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0085,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0086,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0087,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0088,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0089,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0090,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0091,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0092,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0093,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0094,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0095,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0096,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0097,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0098,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0099,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0100,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0101,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0102,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0103,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0104,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0105,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0106,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0107,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0108,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0109,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0110,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0111,C1,기둥,DONG,B2F,400x800,3300,1.056
TC1-B2F-DONG-0001,TC1,기둥,DONG,B2F,600x1500,3300,2.97
TC2-B2F-DONG-0001,TC2,기둥,DONG,B2F,600x1200,3300,2.376
TC8-B2F-DONG-0001,TC8,기둥,DONG,B2F,600x1800,3300,3.564
TC2-B2F-DONG-0002,TC2,기둥,DONG,B2F,600x1200,3300,2.376
TC2-B2F-DONG-0003,TC2,기둥,DONG,B2F,600x1200,3300,2.376
TC1-B2F-DONG-0002,TC1,기둥,DONG,B2F,600x1500,3300,2.97
TC2-B2F-DONG-0004,TC2,기둥,DONG,B2F,600x1200,3300,2.376
TC8-B2F-DONG-0002,TC8,기둥,DONG,B2F,600x1800,3300,3.564
TC75-B2F-DONG-0001,TC75,기둥,DONG,B2F,1100x900,3300,3.267
TC8-B2F-DONG-0003,TC8,기둥,DONG,B2F,600x1800,3300,3.564
TC8-B2F-DONG-0004,TC8,기둥,DONG,B2F,600x1800,3300,3.564
TC8-B2F-DONG-0005,TC8,기둥,DONG,B2F,600x1800,3300,3.564
TC75-B2F-DONG-0002,TC75,기둥,DONG,B2F,1100x900,3300,3.267
TC2-B2F-DONG-0005,TC2,기둥,DONG,B2F,600x1200,3300,2.376
TC2-B2F-DONG-0006,TC2,기둥,DONG,B2F,600x1200,3300,2.376
TC8-B2F-DONG-0006,TC8,기둥,DONG,B2F,600x1800,3300,3.564
TC2-B2F-DONG-0007,TC2,기둥,DONG,B2F,600x1200,3300,2.376
TC2-B2F-DONG-0008,TC2,기둥,DONG,B2F,600x1200,3300,2.376
TC1-B2F-DONG-0003,TC1,기둥,DONG,B2F,600x1500,3300,2.97
TC1-B2F-DONG-0004,TC1,기둥,DONG,B2F,600x1500,3300,2.97
C1-B2F-DONG-0112,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0113,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0114,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0115,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0116,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0117,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0118,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0119,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0120,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0121,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0122,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0123,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0124,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0125,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0126,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0127,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0128,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0129,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0130,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0131,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0132,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0133,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0134,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0135,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0136,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0137,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0138,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0139,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0140,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0141,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0142,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0143,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0144,C1,기둥,DONG,B2F,400x800,3300,1.056
TC2-B2F-DONG-0009,TC2,기둥,DONG,B2F,600x1200,3300,2.376
TC10-B2F-DONG-0001,TC10,기둥,DONG,B2F,600x1400,3300,2.772
TC1-B2F-DONG-0005,TC1,기둥,DONG,B2F,600x1000,3300,1.98
TC1-B2F-DONG-0006,TC1,기둥,DONG,B2F,600x1000,3300,1.98
TC1-B2F-DONG-0007,TC1,기둥,DONG,B2F,600x1000,3300,1.98
TC10-B2F-DONG-0002,TC10,기둥,DONG,B2F,600x1400,3300,2.772
TC1-B2F-DONG-0008,TC1,기둥,DONG,B2F,600x1000,3300,1.98
TC2-B2F-DONG-0010,TC2,기둥,DONG,B2F,600x1200,3300,2.376
TC1-B2F-DONG-0009,TC1,기둥,DONG,B2F,600x1000,3300,1.98
C1-B2F-DONG-0145,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0146,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0147,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0148,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0149,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0150,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0151,C1,기둥,DONG,B2F,400x800,3300,1.056
TC13-B2F-DONG-0004,TC13,기둥,DONG,B2F,1500x800,3300,3.96
TC13-B2F-DONG-0005,TC13,기둥,DONG,B2F,1500x800,3300,3.96
TC13-B2F-DONG-0006,TC13,기둥,DONG,B2F,1500x800,3300,3.96
C1-B2F-DONG-0152,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0153,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0154,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0155,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0156,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0157,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0158,C1,기둥,DONG,B2F,400x800,3300,1.056
TC12-B2F-DONG-0001,TC12,기둥,DONG,B2F,700x2000,3300,4.62
TC2-B2F-DONG-0011,TC2,기둥,DONG,B2F,600x1200,3300,2.376
TC8-B2F-DONG-0007,TC8,기둥,DONG,B2F,600x1800,3300,3.564
TC2-B2F-DONG-0012,TC2,기둥,DONG,B2F,600x1200,3300,2.376
TC2-B2F-DONG-0013,TC2,기둥,DONG,B2F,600x1199,3300,2.376
TC1-B2F-DONG-0010,TC1,기둥,DONG,B2F,600x1000,3300,1.98
TC1-B2F-DONG-0011,TC1,기둥,DONG,B2F,600x1000,3300,1.98
TC2-B2F-DONG-0014,TC2,기둥,DONG,B2F,600x1200,3300,2.376
C1-B2F-DONG-0159,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0160,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0161,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0162,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0163,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0164,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0165,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0166,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0167,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0168,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0169,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0170,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0171,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0172,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0173,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0174,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0175,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0176,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0177,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0178,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0179,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0180,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0181,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0182,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0183,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0184,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0185,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0186,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0187,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0188,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0189,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0190,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0191,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0192,C1,기둥,DONG,B2F,400x800,3300,1.056
C5-B2F-DONG-0001,C5,기둥,DONG,B2F,900x400,3300,1.188
C1-B2F-DONG-0193,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0194,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0195,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0196,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0197,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0198,C1,기둥,DONG,B2F,800x400,3300,1.056
C1-B2F-DONG-0199,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0200,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0201,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0202,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0203,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0204,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0205,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0206,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0207,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0208,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0209,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0210,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0211,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0212,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0213,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0214,C1,기둥,DONG,B2F,400x800,3300,1.056
C1-B2F-DONG-0215,C1,기둥,DONG,B2F,400x800,3300,1.056
TC19-B2F-DONG-0001,TC19,기둥,DONG,B2F,600x1100,3300,2.178
SW-B2F-DONG-0001,SW,전단벽,DONG,B2F,2327x2094,3300,16.0843
SW-B2F-DONG-0002,SW,전단벽,DONG,B2F,2892x400,3300,3.8181
SW-B2F-DONG-0003,SW,전단벽,DONG,B2F,937x878,3300,2.7183
SW-B2F-DONG-0004,SW,전단벽,DONG,B2F,897x667,3300,1.975
SW-B2F-DONG-0005,SW,전단벽,DONG,B2F,897x667,3300,1.975
SW-B2F-DONG-0006,SW,전단벽,DONG,B2F,580x500,3300,0.957
SW-B2F-DONG-0007,SW,전단벽,DONG,B2F,480x400,3300,0.6336
SW-B2F-DONG-0008,SW,전단벽,DONG,B2F,422x422,3300,0.5895
SW-B2F-DONG-0009,SW,전단벽,DONG,B2F,422x422,3300,0.5895
SW-B2F-DONG-0010,SW,전단벽,DONG,B2F,422x422,3300,0.5895
SW-B2F-DONG-0011,SW,전단벽,DONG,B2F,422x422,3300,0.5895
SW-B2F-DONG-0012,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0013,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0014,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0015,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0016,SW,전단벽,DONG,B2F,800x400,3300,1.056
SW-B2F-DONG-0017,SW,전단벽,DONG,B2F,800x400,3300,1.056
SW-B2F-DONG-0018,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0019,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0020,SW,전단벽,DONG,B2F,873x581,3300,1.6757
SW-B2F-DONG-0021,SW,전단벽,DONG,B2F,872x1309,3300,3.7703
SW-B2F-DONG-0022,SW,전단벽,DONG,B2F,1042x1624,3300,5.5875
SW-B2F-DONG-0023,SW,전단벽,DONG,B2F,600x2000,3300,3.96
SW-B2F-DONG-0024,SW,전단벽,DONG,B2F,1264x1683,3300,7.0251
SW-B2F-DONG-0025,SW,전단벽,DONG,B2F,658x1096,3300,2.3842
SW-B2F-DONG-0026,SW,전단벽,DONG,B2F,900x463,3300,1.3754
SW-B2F-DONG-0027,SW,전단벽,DONG,B2F,1011x535,3300,1.7862
SW-B2F-DONG-0028,SW,전단벽,DONG,B2F,463x900,3300,1.3754
SW-B2F-DONG-0029,SW,전단벽,DONG,B2F,900x463,3300,1.3754
SW-B2F-DONG-0030,SW,전단벽,DONG,B2F,580x682,3300,1.3085
SW-B2F-DONG-0031,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0032,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0033,SW,전단벽,DONG,B2F,800x400,3300,1.056
SW-B2F-DONG-0034,SW,전단벽,DONG,B2F,800x400,3300,1.056
SW-B2F-DONG-0035,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0036,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0037,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0038,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0039,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0040,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0041,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0042,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0043,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0044,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0045,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0046,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0047,SW,전단벽,DONG,B2F,400x900,3300,1.188
SW-B2F-DONG-0048,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0049,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0050,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0051,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0052,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0053,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0054,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0055,SW,전단벽,DONG,B2F,800x400,3300,1.056
SW-B2F-DONG-0056,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0057,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0058,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0059,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0060,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0061,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0062,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0063,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0064,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0065,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0066,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0067,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0068,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0069,SW,전단벽,DONG,B2F,800x400,3300,1.056
SW-B2F-DONG-0070,SW,전단벽,DONG,B2F,800x400,3300,1.056
SW-B2F-DONG-0071,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0072,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0073,SW,전단벽,DONG,B2F,903x544,3300,1.6236
SW-B2F-DONG-0074,SW,전단벽,DONG,B2F,903x544,3300,1.6236
SW-B2F-DONG-0075,SW,전단벽,DONG,B2F,600x1500,3300,2.97
SW-B2F-DONG-0076,SW,전단벽,DONG,B2F,600x1200,3300,2.376
SW-B2F-DONG-0077,SW,전단벽,DONG,B2F,600x2650,3300,5.247
SW-B2F-DONG-0078,SW,전단벽,DONG,B2F,600x1300,3300,2.574
SW-B2F-DONG-0079,SW,전단벽,DONG,B2F,800x1500,3300,3.96
SW-B2F-DONG-0080,SW,전단벽,DONG,B2F,1832x1677,3300,10.1395
SW-B2F-DONG-0081,SW,전단벽,DONG,B2F,600x2850,3300,5.643
SW-B2F-DONG-0082,SW,전단벽,DONG,B2F,600x1500,3300,2.97
